#;inlet_Y_SO2;LengthCat2;LengthCool;LengthCat1;conversion;so2;so3;constr;obj_conversion;obj_so2;obj_so3
1;0.05612500000000002;1130;1580;920;0.5625279431961917;0.0245545736924075;0.03945363685283768;370;-0.5625279431961917;0.0245545736924075;-0.03945363685283768
2;0.133125;1700;600;900;0.7714577257926737;0.03042995735297554;0.1283535229744281;800;-0.7714577257926737;0.03042995735297554;-0.1283535229744281
3;0.083125;1780;940;980;0.8234320397907199;0.01467851138786214;0.08553793023715722;300;-0.8234320397907199;0.01467851138786214;-0.08553793023715722
4;0.08862500000000001;640;1720;550;0.3989891733269951;0.05326684559642494;0.04418721769783491;1090;-0.3989891733269951;0.05326684559642494;-0.04418721769783491
5;0.081125;920;980;910;0.6913999072515398;0.02503702208783367;0.07009334710330925;1190;-0.6913999072515398;0.02503702208783367;-0.07009334710330925
6;0.082375;1020;1780;680;0.5028292798196815;0.04095660890053945;0.05176066742778403;520;-0.5028292798196815;0.04095660890053945;-0.05176066742778403
7;0.113875;580;1030;760;0.6679089608090997;0.03781955176174828;0.09504676764523114;1630;-0.6679089608090997;0.03781955176174828;-0.09504676764523114
8;0.09137500000000001;1850;1270;750;0.7653457509183668;0.02144325660230439;0.08739384700723261;130;-0.7653457509183668;0.02144325660230439;-0.08739384700723261
9;0.130875;680;1240;540;0.5976773268674573;0.052657335270693;0.09774893006477536;1540;-0.5976773268674573;0.052657335270693;-0.09774893006477536
10;0.100625;1600;1330;530;0.6561604715643589;0.03460125373748345;0.08251007056913319;540;-0.6561604715643589;0.03460125373748345;-0.08251007056913319
11;0.05762500000000001;1860;890;720;0.6991681732905377;0.01733670327534829;0.05034835059598498;530;-0.6991681732905377;0.01733670327534829;-0.05034835059598498
12;0.102875;550;1760;830;0.603823480602142;0.04075928119399109;0.07762625655304679;860;-0.603823480602142;0.04075928119399109;-0.07762625655304679
13;0.126375;1570;1910;680;0.7444959833509378;0.03229188711328063;0.1175760631828074;-160;-0.7444959833509378;0.03229188711328063;-0.1175760631828074
14;0.129125;1870;1590;580;0.7884647069710543;0.02731682166285332;0.1272302706608143;-40;-0.7884647069710543;0.02731682166285332;-0.1272302706608143
15;0.07162500000000001;870;2000;810;0.5032481882423703;0.03558173483635178;0.04504335603890917;320;-0.5032481882423703;0.03558173483635178;-0.04504335603890917
16;0.08737500000000001;1270;880;960;0.7841333470953639;0.0188629339519013;0.08561985180701576;890;-0.7841333470953639;0.0188629339519013;-0.08561985180701576
17;0.079125;1990;1160;670;0.7275279923755833;0.0215609886780155;0.07193783269418948;180;-0.7275279923755833;0.0215609886780155;-0.07193783269418948
18;0.08387500000000001;1580;1470;840;0.7027232874137136;0.02493595763602623;0.07365637975542839;110;-0.7027232874137136;0.02493595763602623;-0.07365637975542839
19;0.148625;1630;1430;800;0.8111672460196674;0.02806789596981213;0.150662024527474;140;-0.8111672460196674;0.02806789596981213;-0.150662024527474
20;0.06387500000000002;1340;910;730;0.643729940568072;0.02275830425149878;0.05138367283034565;1020;-0.643729940568072;0.02275830425149878;-0.05138367283034565
21;0.104125;1780;1650;750;0.7477694199952086;0.02626557037532754;0.0973010798712356;-180;-0.7477694199952086;0.02626557037532754;-0.0973010798712356
22;0.09337500000000001;1110;990;510;0.5910274226203706;0.03819021237900386;0.0689646249419462;1390;-0.5910274226203706;0.03819021237900386;-0.0689646249419462
23;0.06887500000000001;1080;1670;1000;0.6250383997551076;0.02582717309718878;0.05379694829896569;250;-0.6250383997551076;0.02582717309718878;-0.05379694829896569
24;0.120625;1170;520;770;0.7708793099273469;0.02764010284279741;0.1162044065999445;1540;-0.7708793099273469;0.02764010284279741;-0.1162044065999445
25;0.109875;1840;610;650;0.8057692189927481;0.02134309139430933;0.1106396523266748;900;-0.8057692189927481;0.02134309139430933;-0.1106396523266748
26;0.09237500000000001;1030;1400;650;0.5760442880970417;0.039165289074056;0.06649631547354004;920;-0.5760442880970417;0.039165289074056;-0.06649631547354004
27;0.137125;1790;1050;730;0.8027976619663617;0.02704391628483706;0.1375702365468248;430;-0.8027976619663617;0.02704391628483706;-0.1375702365468248
28;0.082875;1350;1410;510;0.5090535167916703;0.04068939121081477;0.05271950726515752;730;-0.5090535167916703;0.04068939121081477;-0.05271950726515752
29;0.097875;830;1460;990;0.7182731551780915;0.02757612595346166;0.08785278221221862;720;-0.7182731551780915;0.02757612595346166;-0.08785278221221862
30;0.149375;1490;840;910;0.7624988267042435;0.03547546853808205;0.1423188487993008;760;-0.7624988267042435;0.03547546853808205;-0.1423188487993008
31;0.09262500000000001;1670;550;950;0.8260118291338178;0.01611716251915597;0.09561279004030861;830;-0.8260118291338178;0.01611716251915597;-0.09561279004030861
32;0.109125;1860;710;920;0.8241499518156995;0.01919149358536688;0.1123914781180382;510;-0.8241499518156995;0.01919149358536688;-0.1123914781180382
33;0.05687500000000001;1380;1370;670;0.5177410497538094;0.02742997920924511;0.0367975279357194;580;-0.5177410497538094;0.02742997920924511;-0.0367975279357194
34;0.112625;1670;1170;990;0.8387223482316899;0.01816561827507248;0.1180470312204804;170;-0.8387223482316899;0.01816561827507248;-0.1180470312204804
35;0.114125;860;1810;730;0.6310874206686058;0.04210497274551286;0.09000368928154263;600;-0.6310874206686058;0.04210497274551286;-0.09000368928154263
